21354	21345	21192	21145	21198	21260	21300	21521	21481	16391	16379	16324	16600	16412	16431	21366	21237	21122	21510	21159	21170	21291	21186	21437	21278	16679	16152	16456	16283	16272	16385	21391	21246	21322	21187	21479	21211	21155	21474	21217	21526	16414	16436	16410	16454	16250	16614	21175	
16302	16302	16313	16317	16519	16219	16468	16420	21427	16503	16379	16417	16272	16389	16477	21443	16425	16562	16549	16316	16517	16350	16343	16349	21203	16534	16181	16110	16438	16304	16567	21000	16538	16191	16226	16355	16513	16192	16336	16301	21439	16343	16596	16404	16425	16443	16419	21113	
16326	16480	16330	16396	16460	16630	16204	16290	21361	16381	16425	16308	16136	16508	16318	21562	16549	16283	16549	16348	16588	16183	16327	16439	21452	16391	16537	16286	16493	16202	16744	21261	16384	16387	16324	16365	16274	16539	16411	16349	21371	16163	16446	16286	16523	16325	16426	21169	
16340	16386	16435	16551	16262	16417	16346	16426	21039	16246	16234	16410	16333	16281	16345	21312	16718	16536	16292	16266	16426	16125	16271	16356	21204	16453	16209	16461	16331	16474	16376	21397	16514	16514	16175	16502	16130	16510	16224	16259	21207	16265	16403	16466	16390	16267	16393	21401	
16440	16266	16455	16355	16169	16525	16347	16178	21069	16414	16113	16342	16359	16367	16686	21228	16166	16328	16363	16431	16446	16332	16275	16531	21368	16235	16405	16538	16392	16305	16380	21314	16137	16449	16310	16280	16187	16606	16648	16286	21191	16391	16423	16368	16612	16393	16391	21373	
16278	16531	16356	16399	16353	16187	16449	16286	21299	16382	16524	16407	16537	16382	16410	21377	16231	16570	16331	16456	16375	16187	16539	16312	21201	16228	16591	16427	16269	16459	16375	21419	16198	16425	16574	16424	16533	16746	16423	16297	21217	16446	16336	16511	16421	16261	16440	21520	
16342	16294	16275	16277	16367	16182	16320	16513	21385	16466	16264	16382	16399	16293	16163	21326	16428	16408	16352	16621	16238	16299	16152	16491	21266	16055	16036	16372	16280	16311	16308	21485	16427	16361	16508	16431	16190	16524	16321	16507	21377	16512	16492	16458	16429	16393	16277	21378	
20946	21115	21626	21368	21305	21043	21423	21507	21289	16281	16171	16437	16600	16455	16456	21134	21211	21525	21381	21206	21461	21168	21418	21183	21107	16181	16154	16282	16374	16336	16299	21485	21255	21478	21370	21552	21228	21343	21254	21273	21450	16338	16282	16529	16389	16317	16421	21404	
21267	16305	16464	16366	16426	16388	16449	21385	21081	21427	21483	21371	21340	21350	21303	21206	21405	16316	16345	16344	16250	16286	16458	21330	21389	21314	21460	21147	21332	21306	20982	21283	21065	16390	16476	16315	16145	16362	16157	21402	21294	21487	21277	21237	21299	21266	21171	21176	
21386	16269	16383	16327	16331	16260	16608	21386	16133	16344	16133	16506	16380	16403	16380	16343	21306	16245	16451	16294	16495	16387	16315	21565	16402	16468	16121	16472	16185	16276	16452	16440	21299	16413	16468	16467	16450	16550	16437	21251	16063	16234	16591	16298	16360	16120	16074	16467	
21033	16340	16576	16535	16422	16400	16304	21130	16538	16358	16302	16284	16336	16548	16219	16416	21194	16261	16253	16480	16356	16276	16300	21620	16390	16357	16382	16435	16336	16379	16296	16510	21267	16417	16432	16630	16518	16324	16531	21211	16285	16295	16431	16448	16121	16620	16549	16248	
21252	16506	16349	16496	16436	16285	16527	21103	16325	16397	16320	16719	16587	16336	16164	16329	21454	16528	16491	16109	16468	16470	16331	21332	16548	16548	16473	16253	16253	16425	16176	16226	21330	16255	16462	16465	16418	16319	16552	21169	16287	16473	16417	16526	16510	16490	16532	16414	
